word,pronunciation,meaning1,meaning2,meaning3
house,/haʊs/,nhà,ngôi nhà,căn nhà
water,/ˈwɔːtər/,nước,nước uống,nước máy
family,/ˈfæməli/,gia đình,người thân,họ hàng
friend,/frend/,bạn,bạn bè,người bạn
school,/skuːl/,trường học,trường,nơi học
book,/bʊk/,sách,cuốn sách,quyển sách
table,/ˈteɪbl/,cái bàn,bàn,bàn ăn
chair,/tʃeər/,cái ghế,ghế,ghế ngồi
car,/kɑːr/,xe hơi,ô tô,xe
dog,/dɒɡ/,con chó,chó,chó cưng
cat,/kæt/,con mèo,mèo,mèo cưng
day,/deɪ/,ngày,ban ngày,một ngày
night,/naɪt/,đêm,ban đêm,buổi tối
food,/fuːd/,thức ăn,đồ ăn,món ăn
happy,/ˈhæpi/,vui vẻ,hạnh phúc,vui
sad,/sæd/,buồn,buồn bã,buồn rầu
big,/bɪɡ/,to,lớn,to lớn
small,/smɔːl/,nhỏ,bé,nhỏ bé
hot,/hɒt/,nóng,nóng bức,nóng nực
cold,/koʊld/,lạnh,lạnh lẽo,giá lạnh
new,/njuː/,mới,mới mẻ,vừa mới
old,/oʊld/,cũ,già,lâu đời
work,/wɜːrk/,công việc,làm việc,việc làm
name,/neɪm/,tên,tên gọi,danh xưng
time,/taɪm/,thời gian,giờ,thời điểm
city,/ˈsɪti/,thành phố,đô thị,thành thị
student,/ˈstjuːdənt/,học sinh,sinh viên,người học
teacher,/ˈtiːtʃər/,giáo viên,thầy giáo,cô giáo
money,/ˈmʌni/,tiền,tiền bạc,tiền tệ
eat,/iːt/,ăn,ăn uống,dùng bữa
was,bi:,"thì, là","có, tồn tại, ở, sống","trở nên, trở thành"
not,nɔt,không,"hẳn là, chắc là",(xem) but
are,ɑ:,"A (đơn vị diện tích ruộng đất, bằng 100m2)",,
have,"hæv, həv, v",có,"(+ from) nhận được, biết được",ăn; uống; hút
were,bi:,"thì, là","có, tồn tại, ở, sống","trở nên, trở thành"
had,"hæv, həv, v",có,"(+ from) nhận được, biết được",ăn; uống; hút
has,"hæv, həv, v",có,"(+ from) nhận được, biết được",ăn; uống; hút
may,mei,"có thể, có lẽ",có thể (được phép),có thể (dùng thay cho cách giả định)
also,'ɔ:lsou,"cũng, cũng vậy, cũng thế","(đặt ở đầu câu) hơn nữa, ngoài ra",
only,'ounli,"chỉ có một, duy nhất","tốt nhất, đáng xét nhất","chỉ, mới"
should,"ʃud, ʃəd, ʃd",(trợ động từ dùng để hình thành thời tương lai trong thời quá khứ ở ngôi 1 số ít & số nhiều),(trợ động từ dùng để hình thành lối điều kiện ở ngôi 1 số ít & số nhiều),(trợ động từ dùng để hình thành lối lời cầu khẩn)
see,si:,"thấy, trông thấy, nhìn thấy; xem, quan sát, xem xét","xem, đọc (trang báo chí)","hiểu rõ, nhận ra"
could,kæn,"bình, bi đông, ca (đựng nước)","vỏ đồ hộp, hộp đồ hộp","(từ Mỹ,nghĩa Mỹ) ghế đẩu, ghế ngồi ở nhà tiêu"
