word,pronunciation,meaning1,meaning2,meaning3
weather,/ˈweðər/,thời tiết,khí hậu tạm thời,tình hình trời
holiday,/ˈhɒlədeɪ/,kỳ nghỉ,ngày lễ,ngày nghỉ
travel,/ˈtrævl/,du lịch,đi du lịch,đi lại
hospital,/ˈhɒspɪtl/,bệnh viện,nơi khám bệnh,viện
restaurant,/ˈrestrɒnt/,nhà hàng,quán ăn,tiệm ăn
birthday,/ˈbɜːrθdeɪ/,sinh nhật,ngày sinh,ngày ra đời
neighbor,/ˈneɪbər/,hàng xóm,người ở gần,láng giềng
borrow,/ˈbɒroʊ/,mượn,vay,vay mượn
lend,/lend/,cho mượn,cho vay,cho vay mượn
arrive,/əˈraɪv/,đến,đến nơi,tới nơi
leave,/liːv/,rời đi,để lại,khởi hành
remember,/rɪˈmembər/,nhớ,ghi nhớ,nhớ lại
forget,/fərˈɡet/,quên,quên mất,bỏ quên
difficult,/ˈdɪfɪkəlt/,khó,khó khăn,gian nan
easy,/ˈiːzi/,dễ,dễ dàng,đơn giản
important,/ɪmˈpɔːrtnt/,quan trọng,trọng yếu,thiết yếu
dangerous,/ˈdeɪndʒərəs/,nguy hiểm,rủi ro,gây hại
healthy,/ˈhelθi/,khỏe mạnh,lành mạnh,tốt cho sức khỏe
exercise,/ˈeksərsaɪz/,tập thể dục,bài tập,vận động
delicious,/dɪˈlɪʃəs/,ngon,thơm ngon,ngon miệng
expensive,/ɪkˈspensɪv/,đắt,đắt đỏ,giá cao
cheap,/tʃiːp/,rẻ,giá rẻ,bình dân
crowded,/ˈkraʊdɪd/,đông đúc,chật chội,đông người
quiet,/ˈkwaɪət/,yên tĩnh,im lặng,tĩnh lặng
noisy,/ˈnɔɪzi/,ồn ào,ầm ĩ,náo nhiệt
comfortable,/ˈkʌmftəbl/,thoải mái,dễ chịu,tiện nghi
decision,/dɪˈsɪʒn/,quyết định,sự quyết định,sự lựa chọn
opinion,/əˈpɪnjən/,ý kiến,quan điểm,nhận định
environment,/ɪnˈvaɪrənmənt/,môi trường,hoàn cảnh xung quanh,sinh cảnh
experience,/ɪkˈspɪəriəns/,kinh nghiệm,trải nghiệm,sự từng trải
been,bi:,"thì, là","có, tồn tại, ở, sống","trở nên, trở thành"
will,wil,"ý chí, chí, ý định, lòng","sự hăng say; sự quyết chí, sự quyết tâm","nguyện vọng, ý muốn; ý thích"
can,kæn,"bình, bi đông, ca (đựng nước)","vỏ đồ hộp, hộp đồ hộp","(từ Mỹ,nghĩa Mỹ) ghế đẩu, ghế ngồi ở nhà tiêu"
other,'ʌðə,khác,kia,(xem) every
such,sʌtʃ,"như thế, như vậy, như loại đó","thật là, quả là",đến nỗi
said,sei,"(từ hiếm,nghĩa hiếm) vải chéo","lời nói, tiếng nói; dịp nói; quyền ăn nói (quyền tham gia quyết định về một vấn đề)",tuyên bố; hứa hẹn; tiên đoán
state,steit,"trạng thái, tình trạng",địa vị xã hội,(thông tục) sự lo lắng
made,meid,"làm, hoàn thành, thực hiện",,
shall,"ʃæl, ʃəl, ʃl",(dùng ở ngôi 1 số ít và số nhiều để cấu tạo thời tương lai) sẽ,"(dùng ở ngôi 2 và ngôi 3 số ít và số nhiều để chỉ sự hứa hẹn, sự cảnh cáo, sự quyết định, sự cần thiết, nhiệm vụ phải làm...) thế nào cũng sẽ, nhất định sẽ phải","(dùng ở ngôi 2 trong câu hỏi vì người hỏi chắc mầm trong câu trả lời sẽ có shall) chắc sẽ, hẳn là sẽ"
used,ju:zd,"thường dùng, đang dùng","cũ, đ  dùng rồi (đồ vật)",quen
part,pɑ:t,"phần, bộ phận, tập (sách)",bộ phận cơ thể,"phần việc, nhiệm vụ"
even,'i:vən,"chiều, chiều hôm",bằng phẳng,"ngang bằng, ngang"
system,'sistim,hệ thống; chế độ,phương pháp,(the system) cơ thể
however,hau'evə,"dù đến đâu, dù cách nào, dù cách gì","tuy nhiên, tuy thế, tuy vậy",
government,'gʌvnmənt,"sự cai trị, sự thống trị","chính phủ, nội các",chính quyền
most,moust,"lớn nhất, nhiều nhất","hầu hết, phần lớn, đa số",(xem) part
law,lɔ:,"phép, phép tắc, luật; quy luật, định luật; điều lệ","pháp luật, luật",luật học; nghề luật sư
act,ækt,"hành động, việc làm, cử chỉ, hành vi",đạo luật,chứng thư
court,kɔ:t,sân nhà,toà án; quan toà; phiên toà,cung diện (vua); triều đình; quần thần; buổi chầu
use,ju:s,sự dùng; cách dùng,"quyền dùng, quyền sử dụng",năng lực sử dụng
company,'kʌmpəni,sự cùng đi; sự cùng ở; sự có bầu có bạn,"khách, khách khứa","bạn, bè bạn"
given,'givn,"đề ngày (tài liệu, văn kiện)",nếu,đã quy định; (toán học) đã cho
power,'pauə,"khả năng, tài năng, năng lực","sức, lực, sức mạnh","quyền, chính quyền, quyền hạn, quyền lực, quyền thế, thế lực, uy quyền"
university,",ju:ni'və:siti",trường đại học,tập thể (của một) trường đại học,đội đại học (đội thể thao của một trường đại học)
research,ri'sə:tʃ,sự nghiên cứu,nghiên cứu,
still,stil,"im, yên, tĩnh mịch","làm thinh, nín lặng","không sủi bọt (rượu, bia...)"
might,mait,"sức mạnh, lực (thân thể hoặc tinh thần)",,
committee,kə'miti,uỷ ban,,
area,'eəriə,"diện tích, bề mặt","vùng, khu vực",khoảng đất trống
fact,fækt,"việc, sự việc",sự thật,sự kiện
value,'vælju:,giá trị,"(thương nghiệp); (tài chính) giá cả, giá",(vật lý) năng suất
education,",edju:'keiʃn","sự giáo dục, sự cho ăn học",sự dạy (súc vật...),sự rèn luyện (kỹ năng...)
last,lɑ:st,"khuôn giày, cốt giày",không dính vào những chuyện mà mình không biết,"lát (đơn vị đo trọng tải của tàu thuỷ, bằng 2000 kg)"
control,kən'troul,"quyền hành, quyền lực, quyền chỉ huy","sự điều khiển, sự lái, sự cầm lái","sự kiềm chế, sự nén lại"
report,ri'pɔ:t,bản báo cáo; biên bản,"bản tin, bản dự báo; phiếu thành tích học tập (hằng tháng hoặc từng học kỳ của học sinh)",tin đồn
few,fju:,ít vải,"(a few) một vài, một ít","ít, số ít, vài"
study,'stʌdi,sự học tập; sự nghiên cứu,đối tượng nghiên cứu,"sự chăm chú, sự chú ý"
interest,'intrist,"sự quan tâm, sự chú ý; điều quan tâm, điều chú ý",sự thích thú; điều thích thú,tầm quan trọng
possible,'pɔsəbl,"có thể, có thể được, có thể làm được, có thể xảy ra","có thể chơi (với) được, có thể chịu đựng được",sự có thể
country,'kʌntri,"nước, quốc gia","đất nước, tổ quốc, quê hương, xứ sở",nhân dân (một nước)
certain,'sə:tn,"chắc, chắc chắn",nào đó,"đôi chút, chút ít"
effect,i'fekt,kết quả,"hiệu lực, hiệu quả, tác dụng","tác động, ảnh hưởng; ấn tượng"
rate,reit,tỷ lệ,tốc độ,"giá, suất, mức (lương...)"
several,'sevrəl,vài,"riêng, cá nhân; khác nhau",vài
taken,teik,"sự cầm, sự nắm, sự lấy","chầu, mẻ (số lượng săn được, câu được, bắt được)","tiền thu (trong buổi hoà nhạc, diễn kịch)"
local,'loukəl,địa phương,"bộ phận, cục bộ",(toán học) (thuộc) quỹ tích
production,production,"sự đưa ra, sự trình bày","sự sản xuất, sự chế tạo",sự sinh
national,'neiʃənl,(thuộc) dân tộc,(thuộc) quốc gia,chính phủ liên hiệp
figure,'figə,hình dáng,(toán học) hình,"hình ảnh, hình vẽ minh hoạ ((viết tắt) fig); vật tượng trưng, vật điển hình, vật giống"
necessary,'nesisəri,"cần, cần thiết, thiết yếu","tất nhiên, tất yếu",những thứ cần dùng
air,eə,"không khí, bầu không khí; không gian, không trung",(hàng không) máy bay; hàng không,làn gió nhẹ
therefore,'ðeəfɔ:,"bởi vậy, cho nên, vì thế, vậy thì",,
following,'fɔlouiɳ,"sự theo, sự noi theo","số người theo, số người ủng hộ","(the following) những người sau đây, những thứ sau đây"
others,,đại từ,những người khác; những vật khác,(the others) những người hoặc vật còn lại trong một nhóm; những người/vật khác/kia
rather,'rɑ:ðə,"thà... hơn, thích... hơn","đúng hơn, hơn là","phần nào, hơi, khá"
chapter,'tʃæps,chương (sách),"đề tài, vấn đề",(tôn giáo) tăng hội
level,'levl,"ống bọt nước, ống thuỷ","mức, mực; mặt","(nghĩa bóng) trình độ, vị trí, cấp, mức ngang nhau"
far,fɑ:,"xa, xa xôi, xa xăm",(xem) cry,xa
evidence,'evidəns,"tính hiển nhiên; tính rõ ràng, tính rõ rệt","(pháp lý) chứng, chứng cớ, bằng chứng",dấu hiệu; chứng chỉ
held,hould,khoang (của tàu thuỷ),"sự cầm, sự nắm giữ, sự nắm chặt","(nghĩa bóng) sự nắm được, sự hiểu thấu"
going,'gouiɳ,sự ra đi,"trạng thái đường sá (xấu, tốt...); việc đi lại",tốc độ (của xe lửa...)
society,sə'saiəti,xã hội,lối sống xã hội,tầng lớp thượng lưu; tầng lớp quan sang chức trọng
provide,provide,"((thường) + for,  against) chuẩn bị đầy đủ, dự phòng","((thường) + for) cung cấp, chu cấp, lo cho cái ăn cái mặc cho; lo liệu cho","((thường) + with,  for,  to) cung cấp, kiếm cho"
cost,kɔst,giá,"chi phí, phí tổn","sự phí (thì giờ, sức lực)"
political,pə'litikə,chính trị,"(thuộc) việc quản lý nhà nước, (thuộc) chính quyền",cán sự (của chính quyền)
less,les,"nhỏ hơn, bé hơn, ít hơn, kém",mong anh không gầy đi,"nhỏ hơn, bé hơn, ít hơn, không bằng, kém"
position,pə'ziʃn,"vị trí, chỗ (của một vật gì)",(quân sự) vị trí,thế
trade,treid,"nghề, nghề nghiệp","thương nghiệp, thương mại, sự buôn bán, mậu dịch",ngành buôn bán; những người trong ngành buôn bán
done,dʌn,"xong, hoàn thành, đã thực hiện","mệt lử, mệt rã rời",đã qua đi
shown,ʃou,sự bày tỏ,sự trưng bày; cuộc triển lãm,"sự phô trương, sự khoe khoang"
cent,sent,đồng xu (bằng 1 qoành 00 đô la),(xem) care,
low,lou,tiếng rống (trâu bò),rống (trâu bò),ngọn lửa
association,"ə,sousi'eiʃn","sự kết hợp, sự liên hợp, sự liên kết; sự liên đới","sự kết giao, sự giao thiệp",sự liên tưởng
common,'kɔmən,"chung, công, công cộng","thường, thông thường, bình thường, phổ biến, phổ thông",tầm thường; thô tục
nature,'neitʃə,"tự nhiên, thiên nhiên, tạo hoá",trạng thái tự nhiên; trạng thái nguyên thuỷ,"tính, bản chất, bản tính"
material,mə'tiəriəl,vật chất,"(thuộc) thân thể, (thuộc) xác thịt","hữu hình, cụ thể, thực chất"
method,'meθəd,"phương pháp, cách thức",thứ tự; hệ thống,(đùa cợt) cứ bán cái điên của nó đi mà ăn
market,'mɑ:kit,chợ,"thị trường, nơi tiêu thụ; khách hàng",giá thị trường; tình hình thị trường
human,'hju:mən,"(thuộc) con người, (thuộc) loài người","có tính người, có tình cảm của con người",con người
right,rait,"điều tốt, điều phải, điều đứng đắn; điều thiện",quyền,quyền lợi
took,teik,"sự cầm, sự nắm, sự lấy","chầu, mẻ (số lượng săn được, câu được, bắt được)","tiền thu (trong buổi hoà nhạc, diễn kịch)"
view,vju:,"sự nhìn, sự thấy, tầm nhìn, tầm mắt","cái nhìn thấy, cảnh, quang cảnh","dịp được xem, cơ hội được thấy"
