word,pronunciation,meaning1,meaning2,meaning3
achieve,/əˈtʃiːv/,đạt được,hoàn thành,giành được
improve,/ɪmˈpruːv/,cải thiện,nâng cao,cải tiến
behavior,/bɪˈheɪvjər/,hành vi,cách cư xử,thái độ
character,/ˈkærəktər/,tính cách,nhân vật,cá tính
communicate,/kəˈmjuːnɪkeɪt/,giao tiếp,truyền đạt,liên lạc
confident,/ˈkɒnfɪdənt/,tự tin,chắc chắn,vững tin
describe,/dɪˈskraɪb/,miêu tả,mô tả,diễn tả
discover,/dɪˈskʌvər/,khám phá,phát hiện,tìm ra
employ,/ɪmˈplɔɪ/,thuê,tuyển dụng,sử dụng lao động
encourage,/ɪnˈkʌrɪdʒ/,khuyến khích,động viên,cổ vũ
imagine,/ɪˈmædʒɪn/,tưởng tượng,hình dung,mường tượng
include,/ɪnˈkluːd/,bao gồm,gồm có,kèm theo
increase,/ɪnˈkriːs/,tăng,gia tăng,tăng lên
decrease,/dɪˈkriːs/,giảm,giảm bớt,giảm xuống
instead,/ɪnˈsted/,thay vào đó,thay vì,thay thế
involve,/ɪnˈvɒlv/,liên quan đến,bao hàm,dính líu
mention,/ˈmenʃn/,đề cập,nhắc tới,nói tới
opportunity,/ˌɒpərˈtjuːnəti/,cơ hội,dịp may,thời cơ
prefer,/prɪˈfɜːr/,thích hơn,ưa thích hơn,chuộng hơn
produce,/prəˈdjuːs/,sản xuất,tạo ra,chế tạo
purpose,/ˈpɜːrpəs/,mục đích,mục tiêu,ý định
reduce,/rɪˈdjuːs/,giảm,giảm thiểu,thu nhỏ
relationship,/rɪˈleɪʃnʃɪp/,mối quan hệ,quan hệ,liên hệ
require,/rɪˈkwaɪər/,yêu cầu,đòi hỏi,cần đến
succeed,/səkˈsiːd/,thành công,đạt được thành công,làm được
suggest,/səˈdʒest/,đề nghị,gợi ý,đề xuất
support,/səˈpɔːrt/,hỗ trợ,ủng hộ,giúp đỡ
affect,/əˈfekt/,ảnh hưởng đến,tác động đến,gây ảnh hưởng
avoid,/əˈvɔɪd/,tránh,né tránh,tránh né
compare,/kəmˈpeər/,so sánh,đối chiếu,so đo
more,mɔ:,"nhiều hơn, lớn hơn, đông hơn","hơn nữa, thêm nữa, thêm nữa","hơn, nhiều hơn"
service,'sə:vis,(thực vật học) cây thanh lương trà ((cũng) service-tree),"sự phục vụ, sự hầu hạ","ban, vụ, sở, cục, ngành phục vụ"
development,di'veləpmənt,"sự trình bày, sự bày tỏ, sự thuyết minh (vấn đề, luận điểm, ý kiến...)","sự phát triển, sự mở mang, sự mở rộng, sự khuếch trương, sự phát đạt",(sinh vật học) sự phát triển
general,'dʤenərəl,"chung, chung chung",tổng,(quân sự) tổng hành dinh
department,di'pɑ:tmənt,cục; sở; ty; ban; khoa,"gian hàng, khu bày hàng (trong cửa hiệu)",khu hành chính (ở Pháp)
public,'pʌblik,"chung, công, công cộng",công khai,"công chúng, quần chúng"
thus,ðʌs,"vậy, như vậy, như thế","vì vậy, vì thế, vậy thì","đến đó, đến như thế"
services,,(Econ) Các dịch vụ.,,
process,process,"quá trình, sự tiến triển",sự tiến hành,"phương pháp, cách thức (sản xuất, chế biến)"
present,'preznt - pri'zent,pri'zent/,"có mặt, hiện diện","hiện nay, hiện tại, hiện thời, nay, này"
county,'kaunti,"hạt, tỉnh (đơn vị hành chính lớn nhất của Anh)",(the county) nhân dân (một) hạt (tỉnh),đất (phong của) bá tước
available,ə'veiləbl,"sẵn có để dùng, sẵn sàng để dùng, có thể dùng được","có thể kiếm được, có thể mua được","có hiệu lực, có giá trị"
president,'prezidənt,"chủ tịch (buổi họp, hội nước...)","(từ Mỹ,nghĩa Mỹ) tổng thống",hiệu trưởng (trường đại học)
land,lænd,đất; đất liền,"đất, đất trồng, đất đai","vùng, xứ, địa phương"
amount,ə'maunt,"số lượng, số nhiều",tổng số,"thực chất, giá trị thực; tầm quan trọng, ý nghĩa"
including,in'klu:diɳ,"bao gồm cả, kể cả",,
percent,,phần trăm,,
required,,"đòi hỏi, cần tìm",,
provided,provided,"được chuẩn bị đầy đủ, được dự phòng","được cung cấp, được chu cấp",trường tiểu học công do chính quyền địa phương đài thọ
policy,'pɔlisi,"chính sách (của chính phủ, đảng...)","cách xử sự, cách giải quyết (vấn đề...) đường lối hành động","sự khôn ngoan, sự khôn khéo, sự tin tưởng, sự sáng suốt, sự sắc bén (về chính trị, về sự chỉ đạo công việc)"
property,property,"quyền sở hữu, tài sản, của cải, vật sở hữu","đặc tính, tính chất","đồ dùng sân khấu (trang trí, phục trang, dàn cảnh...)"
analysis,ə'næləsis,sự phân tích,"(vật lý),  (hoá học) phép phân tích",(toán học) giải tích
various,'veəriəs,khác nhau; nhiều thứ khác nhau,,
least,li:st,"tối thiểu, nhỏ nhất, ít nhất, kém nhất","tối thiểu, ít nhất","ít hơn cả, kém hơn cả"
management,'mænidʤmənt,"sự trông nom, sự quản lý",sự điều khiển,"ban quản lý, ban quản đốc"
total,'toutl,"tổng cộng, toàn bộ",hoàn toàn,"tổng số, toàn bộ"
district,'distrikt,"địa hạt, khu vực, quận, huyện, khu","vùng, miền","(từ Mỹ,nghĩa Mỹ) khu vực bầu cử"
economic,",i:kə'nɔmik",kinh tế,"mang lợi, có lợi (việc kinh doanh...)",
next,nekst,"sát, gần, ngay bên, bên cạnh","sau, ngay sau, tiếp sau",hầu như không
tax,tæks,"thuế, cước","(nghĩa bóng) gánh nặng; sự thử thách, sự đòi hỏi lớn","đánh thuế, đánh cước"
