word,pronunciation,meaning1,meaning2,meaning3
acumen,/ˈækjumen/,sự nhạy bén,khả năng phán đoán tốt,sự tinh tường
anomaly,/əˈnɒməli/,sự bất thường,dị thường,điều khác lạ
austere,/ɔːˈstɪər/,khắc khổ,giản dị nghiêm khắc,kham khổ
cacophony,/kəˈkɒfəni/,âm thanh hỗn độn,tạp âm,tiếng ồn chói tai
capitulate,/kəˈpɪtʃuleɪt/,đầu hàng,khuất phục,chịu thua
cogent,/ˈkoʊdʒənt/,thuyết phục,có sức thuyết phục,chặt chẽ và rõ ràng
conundrum,/kəˈnʌndrəm/,câu đố hóc búa,vấn đề nan giải,bài toán khó
deleterious,/ˌdeləˈtɪəriəs/,có hại,gây tổn hại,độc hại
ephemeral,/ɪˈfemərəl/,phù du,ngắn ngủi,chóng tàn
equivocal,/ɪˈkwɪvəkl/,mập mờ,nước đôi,khó hiểu rõ
esoteric,/ˌesəˈterɪk/,bí truyền,khó hiểu với số đông,chuyên sâu ít người biết
fastidious,/fæˈstɪdiəs/,cầu kỳ,khó tính,kỹ tính quá mức
iconoclast,/aɪˈkɒnəklæst/,người phá vỡ quy tắc,người chống lại truyền thống,kẻ nổi loạn tư tưởng
incontrovertible,/ɪnˌkɒntrəˈvɜːrtəbl/,không thể chối cãi,không thể bác bỏ,chắc chắn đúng
juxtapose,/ˈdʒʌkstəpoʊz/,đặt cạnh nhau để so sánh,đối chiếu song song,sắp cạnh nhau
magnanimous,/mæɡˈnænɪməs/,độ lượng,khoan dung,hào hiệp
obfuscate,/ˈɒbfʌskeɪt/,làm mơ hồ,gây khó hiểu,làm rối
paradigm,/ˈpærədaɪm/,hình mẫu,khuôn mẫu,mô hình chuẩn
pernicious,/pərˈnɪʃəs/,có hại ngấm ngầm,độc hại,gây hại từ từ
perspicacious,/ˌpɜːrspɪˈkeɪʃəs/,sáng suốt,tinh tường,nhìn xa trông rộng
quintessential,/ˌkwɪntɪˈsenʃl/,điển hình nhất,tiêu biểu nhất,tinh túy nhất
recalcitrant,/rɪˈkælsɪtrənt/,ngoan cố,bất trị,khó bảo
sanguine,/ˈsæŋɡwɪn/,lạc quan,tin tưởng,tự tin vào tương lai
surreptitious,/ˌsʌrəpˈtɪʃəs/,lén lút,bí mật,vụng trộm
tenuous,/ˈtenjuəs/,mong manh,yếu ớt,thiếu cơ sở vững chắc
ubiquitous,/juːˈbɪkwɪtəs/,có mặt khắp nơi,phổ biến khắp nơi,hiện diện mọi lúc mọi nơi
vindicate,/ˈvɪndɪkeɪt/,minh oan,chứng minh là đúng,biện minh thành công
wistful,/ˈwɪstfəl/,hoài niệm,tiếc nuối,man mác buồn
zealous,/ˈzeləs/,nhiệt thành,hăng hái,sốt sắng
abstruse,/æbˈstruːs/,khó hiểu,sâu xa,trừu tượng khó nắm bắt
alleged,ə'ledʤd,"được cho là, bị cho là","được viện ra, được dẫm ra, được vin vào",
hypothesis,hai'pɔθisis,giả thuyết,,
situated,'sitjueitid,ở,"ở vào một tình thế, ở vào một hoàn cảnh",
pending,'pendiɳ,"chưa quyết định, chưa giải quyết, còn để treo đó; (pháp lý) chưa xử","trong lúc, trong quá trình, trong khoảng thời gian","cho đến lúc, trong khi chờ đợi"
bacteria,bæk'tiəriəm,vi khuẩn,,
omitted,,bị bỏ qua không lấy,,
obliged,,biết ơn,,
deceased,di'si:st,"đã chết, đã mất, đã qua đời",the deceased những người đã chết,
inclined,in'klaind,"có ý sãn sàng, có ý thích, có ý thiên về; có khuynh hướng, có chiều hướng",nghiêng dốc,
genus,'dʤi:nəs,"(sinh vật học) phái, giống",loại,
alpha,'ælfə,chữ anfa,,
gradient,'greidjənt,"dốc, đường dốc; độ dốc",(vật lý) Graddien,
elevated,'eliveitid,"cao; cao cả, cao thượng, cao nhã","(từ Mỹ,nghĩa Mỹ) phấn khởi, phấn chấn; hân hoan, hoan hỉ","(thông tục) ngà ngà say, chếnh choáng hơi men"
tactics,'tæktiks,(quân sự) chiến thuật,sách lược,
embedded,,được nhúng,,
foregoing,fɔ:'gouiɳ,trước; đã nói ở trên; đã đề cập đến,(the foregoing) những điều đã nói ở trên; những điều đã đề cập đến,
correlated,,tương quan,,
vested,'vestid,"được trao cho, được ban cho, được phong cho",(thuộc) quyền sở hữu bất di bất dịch,
bladder,'blædə,bong bóng,ruột (bóng đá),người huênh hoang rỗng tuếch; người chỉ nói suông
acquainted,ə'kweintid,"((thường) + with) quen biết, quen thuộc (với)",,
indies,,ấn Độ và những vùng lân cận,,
larvae,'lɑ:və,(động vật học) ấu trùng,,
silica,'silikə,(hoá học) Silic đioxyt,,
adjoining,ə'dʤɔiniɳ,"gần kề, kế bên, tiếp giáp, bên cạnh, sát nách",,
destined,,"đã đựơc định trước, đã đựơc định sẵn",(+for) trên đường đi tới (nơi nào đó),
strata,'strɑ:təm,"(địa lý,địa chất) địa tầng, vỉa",tầng lớp xã hội,
enlarged,,mở rộng,,
grinding,,"(nói về âm thanh) ken két, nghiến rít",,
circulating,,tuần hoàn; lưu thông,,
summons,'sʌmən,"sự gọi đến, sự triệu đến",(pháp lý) trát đòi hầu toà,"(pháp lý) đòi ra hầu toà, gửi trát đòi ra hầu toà"
deferred,,bị hoãn lại,,
withheld,wi 'hould,từ chối không làm; từ chối không cho,giấu,"ngăn cn, giữ lại"
trans,,(do ai) dịch (translated),,
plumbing,'plʌmiɳ,nghề hàn chì; thuật hàn chì,"đồ hàn chì (ống nước, bể chứa nước)",sự đo độ sâu (của biển...)
annals,'ænlz,(sử học) biên niên,,
clover,'klouvə,(thực vật học) cỏ ba lá,"sống an nhàn sung sướng, ngồi mát ăn bát vàng",
aligned,,(Tech) được đồng chỉnh,,
constrained,kən'streind,"ngượng nghịu, bối rối, không tự nhiên","miễn cưỡng, bị ép buộc, gượng gạo",
ensuing,,kế tiếp theo,kế tiếp theo,
restructuring,,"sự tổ chức lại, sự cơ cấu lại, sự sắp xếp lại",,
algae,'ælgə,(thực vật học) tảo,,
withholding,wi 'houldi,sự từ chối không làm; sự từ chối không cho,sự giấu giếm (sự thật...),sự ngăn cn
